3123,0,-36.8,-21.4,0,0.4,0
3116,1,-24.8,-13.4,0,-0.6,0
3117,2,54.2,-6.4,0,-0.6,0
3119,4,-18.8,14.6,0,-0.6,0
3141,5,26.2,26.6,0,1.4,0
3329,0,-37.6,-18,0,0.8,1
3330,1,-24.6,-10,0,-0.2,1
3331,2,55.4,-3,0,-0.2,1
3332,3,-25.6,12,0,-0.2,1
3334,5,32.4,19,0,-0.2,1
3018,0,-33.83333333,-22,0,0.333333333,2
3011,1,-21.83333333,-14,0,-0.666666667,2
3031,2,59.16666667,1,0,1.333333333,2
3023,3,-24.83333333,8,0,0.333333333,2
3015,4,-15.83333333,14,0,-0.666666667,2
3014,5,37.16666667,13,0,-0.666666667,2
3228,0,-38.8,-22.2,0,0.8,3
3222,2,54.2,-8.2,0,-0.2,3
3232,3,-29.8,6.8,0,0.8,3
3224,4,-18.8,12.8,0,-0.2,3
3218,5,33.2,10.8,0,-1.2,3
3631,0,-35.16666667,-11.83333333,0,0.666666667,4
3618,1,-22.16666667,-13.83333333,0,-0.333333333,4
3619,2,58.83333333,-6.833333333,0,-0.333333333,4
3632,3,-26.16666667,8.166666667,0,0.666666667,4
3622,4,-15.16666667,13.16666667,0,-0.333333333,4
3621,5,39.83333333,11.16666667,0,-0.333333333,4
3522,0,-37.2,-10.6,0,0,5
3524,1,-23.2,-4.6,0,0,5
3523,2,54.8,-5.6,0,0,5
3535,3,-28.2,9.4,0,1,5
3518,5,33.8,11.4,0,-1,5
3428,0,-35,-22.33333333,0,0,6
3431,1,-20,-5.333333333,0,0,6
3430,2,58,-7.333333333,0,0,6
3442,3,-24,11.66666667,0,1,6
3432,4,-16,13.66666667,0,0,6
3426,5,37,9.666666667,0,-1,6
3711,0,-32.83333333,-19.66666667,0,0,7
3723,1,-18.83333333,-4.666666667,0,1,7
3713,2,59.16666667,-4.666666667,0,0,7
3728,3,-33.83333333,5.333333333,0,2,7
3714,4,-13.83333333,15.33333333,0,0,7
3697,5,40.16666667,8.333333333,0,-3,7
3806,0,-46.75,-21.25,0,0.25,8
3808,2,47.25,-5.25,0,0.25,8
3809,4,-26.75,13.75,0,0.25,8
3802,5,26.25,12.75,0,-0.75,8
3888,0,-37.4,-24.4,0,0,9
3890,2,54.6,-10.4,0,0,9
3900,3,-33.4,15.6,0,1,9
3892,4,-18.4,9.6,0,0,9
3885,5,34.6,9.6,0,-1,9
